Date,Close
1/2/2014 16:00:00,17.15
1/3/2014 16:00:00,16.95
1/6/2014 16:00:00,16.9
1/7/2014 16:00:00,16.91
1/8/2014 16:00:00,17.09
1/9/2014 16:00:00,16.76
1/10/2014 16:00:00,16.9
1/13/2014 16:00:00,16.91
1/14/2014 16:00:00,17.38
1/15/2014 16:00:00,17.56
1/16/2014 16:00:00,18.15
1/17/2014 16:00:00,17.77
1/21/2014 16:00:00,17.69
1/22/2014 16:00:00,17.96
1/23/2014 16:00:00,17.7
1/24/2014 16:00:00,17.57
1/27/2014 16:00:00,17.15
1/28/2014 16:00:00,17.16
1/29/2014 16:00:00,17.01
1/30/2014 16:00:00,17.14
1/31/2014 16:00:00,16.92
2/3/2014 16:00:00,16.77
2/4/2014 16:00:00,16.74
2/5/2014 16:00:00,16.46
2/6/2014 16:00:00,16.99
2/7/2014 16:00:00,17.16
2/10/2014 16:00:00,17.26
2/11/2014 16:00:00,17.39
2/12/2014 16:00:00,17.38
2/13/2014 16:00:00,17.45
2/14/2014 16:00:00,17.89
2/18/2014 16:00:00,17.79
2/19/2014 16:00:00,17.76
2/20/2014 16:00:00,17.69
2/21/2014 16:00:00,17.74
2/24/2014 16:00:00,17.69
2/25/2014 16:00:00,17.62
2/26/2014 16:00:00,17.83
2/27/2014 16:00:00,18.01
2/28/2014 16:00:00,18.07
3/3/2014 16:00:00,18.03
3/4/2014 16:00:00,18.04
3/5/2014 16:00:00,18.39
3/6/2014 16:00:00,18.87
3/7/2014 16:00:00,18.77
3/10/2014 16:00:00,18.96
3/11/2014 16:00:00,18.77
3/12/2014 16:00:00,19.43
3/13/2014 16:00:00,19.27
3/14/2014 16:00:00,18.9
3/17/2014 16:00:00,19.11
3/18/2014 16:00:00,19.18
3/19/2014 16:00:00,18.88
3/20/2014 16:00:00,18.85
3/21/2014 16:00:00,18.53
3/24/2014 16:00:00,18.64
3/25/2014 16:00:00,19.12
3/26/2014 16:00:00,19.09
3/27/2014 16:00:00,19.42
3/28/2014 16:00:00,19.64
3/31/2014 16:00:00,20.02
4/1/2014 16:00:00,20.32
4/2/2014 16:00:00,20.04
4/3/2014 16:00:00,19.94
4/4/2014 16:00:00,19.77
4/7/2014 16:00:00,19.74
4/8/2014 16:00:00,19.98
4/9/2014 16:00:00,20.15
4/10/2014 16:00:00,19.82
4/11/2014 16:00:00,19.89
4/14/2014 16:00:00,20.26
4/15/2014 16:00:00,20.51
4/16/2014 16:00:00,20.15
4/17/2014 16:00:00,20.72
4/21/2014 16:00:00,20.56
4/22/2014 16:00:00,20.56
4/23/2014 16:00:00,20.41
4/24/2014 16:00:00,20.56
4/25/2014 16:00:00,19.91
4/28/2014 16:00:00,20.3
4/29/2014 16:00:00,20.1
4/30/2014 16:00:00,20.1
5/1/2014 16:00:00,19.77
5/2/2014 16:00:00,19.62
5/5/2014 16:00:00,19.66
5/6/2014 16:00:00,20
5/7/2014 16:00:00,20.33
5/8/2014 16:00:00,20.51
5/9/2014 16:00:00,20.41
5/12/2014 16:00:00,20.59
5/13/2014 16:00:00,20.64
5/14/2014 16:00:00,20.58
5/15/2014 16:00:00,20.66
5/16/2014 16:00:00,20.77
5/19/2014 16:00:00,20.66
5/20/2014 16:00:00,20.51
5/21/2014 16:00:00,20.5
5/22/2014 16:00:00,20.64
5/23/2014 16:00:00,20.66
5/27/2014 16:00:00,20.89
5/28/2014 16:00:00,20.86
5/29/2014 16:00:00,20.7
5/30/2014 16:00:00,20.56
6/2/2014 16:00:00,20.66
6/3/2014 16:00:00,21.24
6/4/2014 16:00:00,21.1
6/5/2014 16:00:00,21.2
6/6/2014 16:00:00,21.09
6/9/2014 16:00:00,21.21
6/10/2014 16:00:00,21.3
6/11/2014 16:00:00,21.13
6/12/2014 16:00:00,21.11
6/13/2014 16:00:00,21.09
6/16/2014 16:00:00,21.21
6/17/2014 16:00:00,21.26
6/18/2014 16:00:00,21.35
6/19/2014 16:00:00,21.69
6/20/2014 16:00:00,21.15
6/23/2014 16:00:00,20.85
6/24/2014 16:00:00,20.78
6/25/2014 16:00:00,21.03
6/26/2014 16:00:00,21.02
6/27/2014 16:00:00,21.28
6/30/2014 16:00:00,21.39
7/1/2014 16:00:00,21.97
7/2/2014 16:00:00,22.38
7/3/2014 16:00:00,22.71
7/7/2014 16:00:00,22.67
7/8/2014 16:00:00,22.57
7/9/2014 16:00:00,22.42
7/10/2014 16:00:00,22.95
7/11/2014 16:00:00,22.81
7/14/2014 16:00:00,22.66
7/15/2014 16:00:00,22.47
7/16/2014 16:00:00,20.93
7/17/2014 16:00:00,20.2
7/18/2014 16:00:00,20.48
7/21/2014 16:00:00,20.43
7/22/2014 16:00:00,20.71
7/23/2014 16:00:00,20.68
7/24/2014 16:00:00,20.89
7/25/2014 16:00:00,20.35
7/28/2014 16:00:00,20.37
7/29/2014 16:00:00,20.54
7/30/2014 16:00:00,20.72
7/31/2014 16:00:00,20
8/1/2014 16:00:00,20.2
8/4/2014 16:00:00,20.51
8/5/2014 16:00:00,19.8
8/6/2014 16:00:00,20.04
8/7/2014 16:00:00,19.91
8/8/2014 16:00:00,19.79
8/11/2014 16:00:00,20.05
8/12/2014 16:00:00,19.99
8/13/2014 16:00:00,20.33
8/14/2014 16:00:00,20.53
8/15/2014 16:00:00,20.45
8/18/2014 16:00:00,20.47
8/19/2014 16:00:00,20.74
8/20/2014 16:00:00,20.84
8/21/2014 16:00:00,20.62
8/22/2014 16:00:00,20.83
8/25/2014 16:00:00,20.68
8/26/2014 16:00:00,20.8
8/27/2014 16:00:00,20.91
8/28/2014 16:00:00,20.91
8/29/2014 16:00:00,20.94
9/2/2014 16:00:00,21.08
9/3/2014 16:00:00,21.35
9/4/2014 16:00:00,21.19
9/5/2014 16:00:00,21.18
